idn,title,ts-idn,ts
1236171721,Entwurf für den Schuber von Die Bildersammlung der Zehnbambushalle,041212088,Entwurf
1236171748,Vorlage für ein Vierfarbenklischee für Die Bildersammlung der Zehnbambushalle,941715787,Klischee
1236171748,Vorlage für ein Vierfarbenklischee für Die Bildersammlung der Zehnbambushalle,041886828,Vorlage
1236171772,Probedruck für den Textteil von Die Bildersammlung der Zehnbambushalle,040131343,Druckwerk
1236171772,Probedruck für den Textteil von Die Bildersammlung der Zehnbambushalle,943626668,Probedruck
1236171780,Entwürfe von Titelschildern für In Su-Chou um 1740: 15 Ku-Su-Drucke,1153904039,Titelschild
1236171780,Entwürfe von Titelschildern für In Su-Chou um 1740: 15 Ku-Su-Drucke,041212088,Entwurf
1236171810,Satzanordnung für die Reproduktion eines Holzdrucks für In Su-Chou um 1740: 15 Ku-Su-Drucke,944214657,Pre-press
1236171810,Satzanordnung für die Reproduktion eines Holzdrucks für In Su-Chou um 1740: 15 Ku-Su-Drucke,040770338,Satz
1236171845,Satzanordnung für die Reproduktion eines Holzdrucks für In Su-Chou um 1740: 15 Ku-Su-Drucke,944214657,Pre-press
1236171845,Satzanordnung für die Reproduktion eines Holzdrucks für In Su-Chou um 1740: 15 Ku-Su-Drucke,040770338,Satz
1236171888,Notiz zum Format für In Su-Chou um 1740: 15 Ku-Su-Drucke,042067774,Notiz
1236171896,Satzanordnung für die Reproduktion eines Holzdrucks für In Su-Chou um 1740: 15 Ku-Su-Drucke,944214657,Pre-press
1236171896,Satzanordnung für die Reproduktion eines Holzdrucks für In Su-Chou um 1740: 15 Ku-Su-Drucke,040770338,Satz
1236171926,Satzanordnung für Textseiten von In Su-Chou um 1740: 15 Ku-Su-Drucke,944214657,Pre-press
1236171926,Satzanordnung für Textseiten von In Su-Chou um 1740: 15 Ku-Su-Drucke,040770338,Satz
1236171950,Entwurf für das Titelblatt von In Su-Chou um 1740: 15 Ku-Su-Drucke,041855760,Titelblatt
1236171950,Entwurf für das Titelblatt von In Su-Chou um 1740: 15 Ku-Su-Drucke,041212088,Entwurf
1236171977,Alle guten Wünsche zum neuen Jahre sendet Ihnen J. FINK Druckerei KG Stuttgart N,041715640,Neujahrswunsch
1236171993,Fotoabzüge und Negative für Illustrationen von Die Bildersammlung der Zehnbambushalle,941852741,Negativ
1236171993,Fotoabzüge und Negative für Illustrationen von Die Bildersammlung der Zehnbambushalle,04141215X,Abzug
1236171993,Fotoabzüge und Negative für Illustrationen von Die Bildersammlung der Zehnbambushalle,041157494,Reproduktion
1236172027,Entwürfe und Klischeeabzüge für den Titel von Die Bildersammlung der Zehnbambushalle,041468392,Buchtitel
1236172027,Entwürfe und Klischeeabzüge für den Titel von Die Bildersammlung der Zehnbambushalle,041212088,Entwurf
1236172027,Entwürfe und Klischeeabzüge für den Titel von Die Bildersammlung der Zehnbambushalle,941715787,Klischee
